date,item,amount,payment,merchant,category
2026-04-01,McSmart Menü,4.99,信用卡,法蘭克福機場 McDonald's,食品
2026-04-02,Buttercroissant,0.49,現金,ALDI,食品
2026-04-02,Buttermilch 500g,0.59,現金,ALDI,食品
2026-04-02,CallYa Starterpaket,9.95,現金,REWE,通訊
2026-04-02,Coca-Cola 330ml x6,4.49,現金,ALDI,飲料
2026-04-02,Müllbeutel 50L,0.79,現金,ALDI,日用
2026-04-02,Naturtrübes Radler,0.55,現金,ALDI,飲料
2026-04-02,Pfand（押金，可退）,1.50,現金,ALDI,押金
2026-04-02,Pfand（押金，可退）,0.25,現金,ALDI,押金
2026-04-02,Rustikales Baguette,0.65,現金,ALDI,食品
2026-04-02,Tram 車票,4.20,信用卡,慕尼黑 Tram,交通
2026-04-02,Weihenstephan 牛奶 3.5%,1.69,現金,ALDI,食品
2026-04-03,Card Fee,7.00,信用卡,銀行,手續費
2026-04-04,Buttercroissant ×2,0.98,現金,ALDI Süd,食品
2026-04-04,Genussgurken,1.69,現金,ALDI Süd,食品
2026-04-04,Laugenbrezel ×4,1.56,現金,ALDI Süd,食品
2026-04-04,Rosenbrötchen,1.95,現金,ALDI Süd,食品
2026-04-04,Thunfisch Sonnenblumenöl ×2,2.58,現金,ALDI Süd,食品
2026-04-04,Weihenstephan 牛奶 3.5% ×2,3.38,現金,ALDI Süd,食品
2026-04-04,木質餐具,1.75,現金,dm,日用
2026-04-04,牙膏（Sanft & Sicher）,2.95,現金,dm,日用
2026-04-07,Ajvar,1.49,現金,ALDI Süd,食品
2026-04-07,Coca-Cola 1.25L,1.59,現金,ALDI Süd,飲料
2026-04-07,Dürüm,8.00,現金,Memetello Grillhouse,餐飲
2026-04-07,Genießersalami,1.99,現金,ALDI Süd,食品
2026-04-07,Käsescheiben 150g,0.99,現金,ALDI Süd,食品
2026-04-07,Pfand（押金，可退）,0.25,現金,ALDI Süd,押金
2026-04-07,Weihenstephan 牛奶 3.5% ×3,5.07,現金,ALDI Süd,食品
2026-04-07,Weizen-Sandwich,1.09,現金,ALDI Süd,食品
2026-04-07,退瓶押金,-1.75,現金,ALDI Süd,押金退回
